"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","3.3uF","~","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","1",""
"C2,C3","470pf","~","Capacitor_THT:C_Rect_L10.0mm_W3.0mm_P7.50mm_MKS4","2",""
"C4,C5,C6,C8,C9","1uF","~","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","5",""
"C7","0.1uF","~","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","1",""
"C10,C11,C12,C13","100uF","~","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","4",""
"D1","LED","~","LED_THT:LED_D5.0mm","1",""
"J1","USB4125-GF-A","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","Connector_USB:USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal","1",""
"J2","Out #3","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J3","Out #1","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J4","Out #2","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J5","Out #4","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"Q2","IRF9358-TRPBF","IRF9358TRPBF","custom:IRF9358-TRPBF","1",""
"R1","4K7","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R2,R7","1K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R3,R10","2K4","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R4","10K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R5","47K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R6,R8,R9","5K1","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","3",""
"U1","CYPD3177-24LQ","https://www.infineon.com/dgdl/Infineon-EZ-PD_BCR_Datasheet_USB_Type-C_Port_Controller_for_Power_Sinks-DataSheet-v03_00-EN.pdf?fileId=8ac78c8c7d0d8da4017d0ee7ce9d70ad","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.75x2.75mm","1",""
