"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C3,C6,C8","1uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","4",""
"C2,C5,C9","470pF","~","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","3",""
"C4,C7,C12,C13","100nF","~","Capacitor_THT:C_Rect_L9.0mm_W5.1mm_P7.50mm_MKT","4",""
"C10","3.9nF","~","Capacitor_THT:C_Rect_L9.0mm_W5.1mm_P7.50mm_MKT","1",""
"C11","10nF","~","Capacitor_THT:C_Rect_L9.0mm_W5.1mm_P7.50mm_MKT","1",""
"D1,D2,D3,D4","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","4",""
"J1","Input","~","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1",""
"J2","+9v","~","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1",""
"J3","Output","~","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1",""
"Q1,Q2,Q3,Q4","BC549","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","Package_TO_SOT_THT:TO-92_Inline","4",""
"R1,R17","39K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R2","47K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R3,R8,R14,R19","470K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4",""
"R4,R9,R11,R12,R15","10K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","5",""
"R5","100","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R6","1K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R7,R13,R20,RV1,RV2,RV3","100K","~","-- mixed values --","6",""
"R10,R16","150","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R18","22K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R21","15K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R22","3K3","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
