"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","100uF/16V","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1",""
"C2","47uF/6.3V","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1",""
"C3","220uF/10V","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1",""
"C4","47nF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1",""
"C5","470nF","~","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1",""
"C6,C8","6.8nF","~","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","2",""
"C7,C9","100pF","~","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","2",""
"C10","1uF/50V","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1",""
"C11,C17","33nF","~","-- mixed values --","2",""
"C12,C18","3.3nF","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","2",""
"C13,C19","8.2nF","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","2",""
"C14,C20","470pF","~","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","2",""
"C15","47pF","~","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","1",""
"C16","1uF/50v","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1",""
"C21","100nF","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1",""
"C22","10nF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1",""
"D1","1N4001","~","Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal","1",""
"D2,D3","1N4148","~","Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal","2",""
"J1","In","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","1",""
"J2","+9v","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","1",""
"J3","Out","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","1",""
"Q1,Q2,Q3,Q4,Q5","BC550","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","Package_TO_SOT_THT:TO-92_Inline_Wide","5",""
"R1,R2,R23,R34,R35","4K7","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","5",""
"R3","33","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R4","1K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R5","470K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R6,R8,R9,R12,R17,R18,R19,R20,R26,R27,R28,R29,R31,RV1","10K","~","-- mixed values --","14",""
"R7,R10,R11,R13,R30","47K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","5",""
"R14","470","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R15,R16","100K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R21","2K7","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R22","33K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R24","56K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R25","330K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R32","1M","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R33","220K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R36","150K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"RV2,RV3","B100K","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","2",""
"U1","TL074","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_DIP:DIP-14_W7.62mm","1",""
"U2","MN3207","http://www.experimentalistsanonymous.com/diy/Datasheets/MN3207.pdf","Package_DIP:DIP-8_W7.62mm","1",""
"U3","MN3102","http://www.experimentalistsanonymous.com/diy/Datasheets/MN3102.pdf","Package_DIP:DIP-8_W7.62mm","1",""
