"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"RV2,RV1";"PinHeader_1x03_P2.54mm_Vertical";2;"B100K";;;
2;"C8,C10";"CP_Radial_D4.0mm_P1.50mm";2;"4.7uF";;;
3;"Q1";"SOT-23_Handsoldering";1;"J201";;;
4;"U1";"DIP-8_W7.62mm";1;"OP07CP";;;
5;"C3,C13";"CP_Radial_D4.0mm_P1.50mm";2;"1uF";;;
6;"R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1M2";;;
7;"R6,R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"1K";;;
8;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"+9v";;;
9;"D1";"D_DO-34_SOD68_P7.62mm_Horizontal";1;"1N4002";;;
10;"C12,C4";"C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";2;"22nF";;;
11;"C9";"C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";1;"2.2uF";;;
12;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"In";;;
13;"C7";"C_Disc_D5.1mm_W3.2mm_P5.00mm";1;"100pF";;;
14;"C2";"C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";1;"100nF";;;
15;"R13";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"10K";;;
16;"R4,R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"2M";;;
17;"R2,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"100K";;;
18;"C1";"CP_Radial_D6.3mm_P2.50mm";1;"100uF";;;
19;"R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"560";;;
20;"C5";"C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";1;"1nF";;;
21;"RV3";"PinHeader_1x03_P2.54mm_Vertical";1;"A100K";;;
22;"C6";"C_Disc_D3.8mm_W2.6mm_P2.50mm";1;"30pF";;;
23;"D3,D2";"D_DO-34_SOD68_P7.62mm_Horizontal";2;"1N4148";;;
24;"J3";"PinHeader_1x02_P2.54mm_Vertical";1;"Out";;;
25;"R7,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"47";;;
26;"R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1K5";;;
27;"R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"3M9";;;
28;"C11";"C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";1;"3.3nF";;;
