"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C3","100nF","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","2",""
"C2,C15","4.7uF","~","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","2",""
"C4,C5","68nF","~","Capacitor_THT:C_Rect_L7.5mm_W6.5mm_P5.00mm","2",""
"C6","390nF","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1",""
"C7","82nF","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1",""
"C8","390pF","~","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","1",""
"C9,C10,C16,C19,C20,C21,C22","1uF","~","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","7",""
"C11","2.2nF","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1",""
"C12","27nF","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1",""
"C13","820pF","~","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","1",""
"C14","3.9nF","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1",""
"C17,C18","47uF","~","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","2",""
"D1","1N4742","https://www.vishay.com/docs/85816/1n4728a.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"D2,D3","1N34A","~","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","2",""
"D7,D8","1N4001","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","2",""
"J1","In","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J2","Out","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J3","+9v","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"R1,R6","10K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R2","1M","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R3,R22,R24,R28","100K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4",""
"R4,R25","560","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R5","5K1","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R7,R8","1K5","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R9,R13","1K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R10","2K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R11,R19","15K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R12","422K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R15","22K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R16","47K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R17,R29,R30","27K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","3",""
"R18","12K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R20","392K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R21","1K8","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R23","4K7","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R242,R243","68K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"RV1","B100K","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1",""
"RV2,RV3","B10K","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","2",""
"SW1","Bypass","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"U1,U2","TL072","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_DIP:DIP-8_W7.62mm","2",""
"U3","MAX1044","http://datasheets.maximintegrated.com/en/ds/ICL7660-MAX1044.pdf","Package_DIP:DIP-8_W7.62mm","1",""
